id,name,popularity,duration_ms,explicit,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist
3gxEZXUjrNbl3TlSrTGbR5,Modern Love - 2018 Remaster,69,288339,false,1983-04-14,0.358,0.938,0,-5,1,0.0483,0.00375,9.2E-6,0.117,0.944,182.836,4,David Bowie
3nRqjx35kiMVbneqHm1zU4,I Will Believe (Live) - Remastered,37,228880,false,1994-01-01,0.342,0.98,2,-3,1,0.0733,7.45E-4,0.0,0.0889,0.555,128.631,4,Oasis
3ogqEijPyl9JD3H6ZljwUY,After All - 2015 Remaster,11,240394,false,2015-09-25,0.398,0.21,9,-17,0,0.0339,0.874,0.138,0.0768,0.111,124.541,3,David Bowie
3ou9rSNUQnE7XYmJkUUIOc,Green Eyes,64,223040,false,2002-08-08,0.607,0.405,9,-8,1,0.0265,0.539,6.7E-6,0.231,0.233,129.543,4,Coldplay
3pMVWZyHRN3DlQ7k79pmTA,Criminal World - 2018 Remaster,43,265007,false,1983-04-14,0.551,0.754,6,-7,0,0.0309,0.0665,0.125,0.0589,0.962,129.758,4,David Bowie
3tZpjDAfrttpnI1rEwQVrC,Songbird,27,127573,false,2002-06-26,0.489,0.578,2,-6,1,0.0282,0.276,5.54E-6,0.228,0.561,134.906,4,Oasis
3vV8yFhHPEy09prUk8otzj,Digsy's Dinner - Live Paris In-Store,32,156867,false,1994-01-01,0.456,0.5,9,-5,1,0.0278,0.133,0.0,0.106,0.529,134.086,4,Oasis
3zjv1lCEZNctcfTDPkFPy2,The Jean Genie - 2013 Remaster,15,248013,false,2015-09-25,0.586,0.571,9,-9,1,0.0309,0.378,5.12E-6,0.358,0.812,128.453,4,David Bowie
42BeMThJuzIQe1oQvhDwgl,Go To Sleep,51,201507,false,2003-06-09,0.288,0.86,2,-6,0,0.0393,0.103,3.99E-4,0.102,0.66,161.196,4,Radiohead
44tvF7bl639TEqkz56pu5D,Letter to Hermione - 2015 Remaster,40,156960,false,1969-11-04,0.409,0.264,4,-16,0,0.0381,0.846,2.1E-4,0.108,0.55,81.053,4,David Bowie
4Dq4MOTV1BV8XnLJJIQkwz,Hymn for the Weekend,9,212647,false,2021-04-09,0.564,0.849,0,-3,0,0.0517,0.00868,4.68E-6,0.12,0.427,102.028,4,Coldplay
4FVKxmy1hKLlgqvOHN8M9L,Scream Like a Baby - 2017 Remaster,36,216840,false,1980-01-01,0.568,0.842,8,-7,1,0.0443,0.111,3.04E-5,0.0813,0.547,114.335,4,David Bowie
4HXOBjwv2RnLpGG4xWOO6N,Princess of China,67,239216,false,2011-10-24,0.42,0.69,9,-6,0,0.0347,0.00385,0.015,0.287,0.237,85.014,4,Coldplay
4JlpoTqWdPewEGsnKcZ6ZG,Slide Away,31,392160,false,1994-08-29,0.0701,0.926,5,-4,0,0.113,5.79E-4,4.62E-5,0.28,0.261,187.309,4,Oasis
4LrfsgQ5AGouvH3PlxW2PC,Treefingers,54,222600,false,2000-10-02,0.165,0.146,6,-21,1,0.0362,0.827,0.887,0.109,0.0577,134.508,3,Radiohead
4LtR1N5gu9JC13B0El3BFb,Take Me Away - Remastered,42,272773,false,1994-01-01,0.45,0.33,2,-10,1,0.0286,0.686,0.0,0.231,0.123,112.225,4,Oasis
4R0VBQ8zbaxr1BiVtbczR0,Rock 'N' Roll with Me - Live; 2005 Mix; 2016 Remaster,22,256427,false,1974-10-29,0.274,0.618,0,-13,1,0.0585,0.0569,1.49E-5,0.786,0.428,142.696,4,David Bowie
4SxuLdY9gdxas2Hl9oCwJm,Five Years - Live; 2017 Remaster,9,236693,false,2017-09-29,0.55,0.548,4,-9,0,0.0518,0.0764,0.0,0.473,0.426,145.018,3,David Bowie
4VbvvkVr4i5ZDraIWH2z6W,Round Are Way - Remastered,34,344440,false,1995-10-02,0.332,0.915,0,-2,1,0.0438,1.6E-5,2.37E-4,0.0748,0.379,137.965,4,Oasis
4bQHPFjRT6O1KdMCd4cD9u,Rock 'n' Roll Star - Remastered,58,322947,false,1994-01-01,0.315,0.97,4,-3,1,0.068,3.92E-4,0.00255,0.435,0.481,138.206,4,Oasis
4bvi8n8Xa2kX0UG02cvuE9,Married with Children - Remastered,47,195000,false,1994-08-29,0.585,0.427,4,-10,1,0.0278,0.806,0.0,0.0985,0.313,87.615,4,Oasis
4c1VLljgvL0g11vHvH8t5V,D'You Know What I Mean?,44,462227,false,1997-07-08,0.312,0.887,11,-3,0,0.0428,7.35E-5,1.73E-4,0.0885,0.253,80.05,4,Oasis
4cWnkZRBaWVCQSWKAiv2ku,Golden Years - 2016 Remaster,13,243280,false,2016-09-23,0.68,0.701,6,-10,0,0.036,0.316,4.72E-6,0.111,0.933,108.287,4,David Bowie
4dmITPUhqpbnykE531crb8,The Prettiest Star - 2013 Remaster,11,211684,false,2015-09-25,0.566,0.559,5,-8,1,0.0333,0.215,0.00227,0.324,0.606,118.249,4,David Bowie
4fw1BaYiJhIH58iRfK1u2S,Rock 'N' Roll Suicide - Live; Stereo,27,317867,false,1983-10-01,0.181,0.709,0,-11,1,0.102,0.0157,0.0125,0.466,0.246,200.979,3,David Bowie
