id,name,popularity,duration_ms,explicit,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist
55n9yjI6qqXh5F2mYvUc2y,I Don’t Wanna Live Forever (Fifty Shades Darker),80,247160,false,2017-11-09,0.731,0.445,0,-8,1,0.0533,0.0586,1.96E-5,0.14,0.106,117.97,4,Taylor Swift
56ZrTFkANjeAMiS14njg4E,Perfect Illusion,65,182000,false,2016-10-21,0.613,0.857,1,-5,0,0.0366,0.0012,0.0,0.358,0.664,124.987,4,Lady Gaga
57F80059mWaWFvWG3tBTbO,The Edge Of Glory,68,320547,false,2011-05-23,0.583,0.768,9,-6,1,0.041,3.23E-4,0.0162,0.109,0.357,127.952,4,Lady Gaga
5Cdn9LP9yrXgnoHlPnBjgj,Million Reasons,6,205280,false,2021-04-11,0.666,0.423,0,-8,1,0.0429,0.494,0.0,0.106,0.154,129.893,4,Lady Gaga
5P4wWhUYWM0IaVYLuZxdar,The Way I Loved You,65,244227,false,2008-11-11,0.433,0.7,5,-3,1,0.0336,0.0408,0.0,0.115,0.398,160.927,4,Taylor Swift
5PjfMmF06QtxTPZBZHdhoZ,Everything Has Changed,60,245413,false,2012-10-22,0.624,0.458,6,-6,1,0.0287,0.36,3.89E-6,0.311,0.436,80.016,4,Taylor Swift
5Tj2MqcFMf60CaGsKbM1aq,The Outside,48,207107,false,2006-10-24,0.589,0.805,5,-4,1,0.0293,0.00491,0.0,0.24,0.591,112.982,4,Taylor Swift
5WFIK6GKHpNXfjlH3BSnep,Bad Romance,47,294467,false,2009-01-01,0.693,0.924,0,-3,1,0.0392,0.0034,4.4E-5,0.0926,0.715,118.983,4,Lady Gaga
5WuBu7WHqaDAIs5dikGclg,Shake It Off,47,219200,false,2014-10-27,0.648,0.785,7,-5,1,0.165,0.0561,0.0,0.148,0.943,160.02,4,Taylor Swift
5hnJCRSo4pxRsaEwT9YusG,Love Story,62,235280,false,2008-11-11,0.618,0.736,2,-3,1,0.0308,0.157,0.0,0.073,0.307,118.982,4,Taylor Swift
5kI4eCXXzyuIUXjQra0Cxi,betty,75,294521,true,2020-07-24,0.593,0.377,0,-8,1,0.0253,0.6,0.0,0.0976,0.502,95.939,4,Taylor Swift
5ka2ajep9OAvU5Sgduhiex,Applause,73,212333,false,2013-11-11,0.669,0.78,7,-4,0,0.053,0.0265,1.63E-6,0.143,0.738,139.945,4,Lady Gaga
5mfDBWY7ncZFm7ykmFTG4i,State Of Grace - Acoustic Version,54,323080,false,2012-10-22,0.626,0.118,7,-15,1,0.0305,0.664,1.69E-4,0.127,0.0682,105.597,4,Taylor Swift
5pcjystBtalYeqaiXCcgEY,You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),84,220839,false,2021-03-26,0.589,0.496,2,-7,1,0.0377,0.818,0.0,0.101,0.44,142.731,4,Taylor Swift
67Io3gxHwfbUreBf114c0u,Mine,64,230773,false,2010-01-01,0.621,0.78,7,-2,1,0.0297,0.00327,4.55E-6,0.184,0.672,121.038,4,Taylor Swift
6HWYtS215rxaaMjvpyG18W,You're Not Sorry,52,261800,false,2008-11-11,0.459,0.459,6,-4,1,0.0275,0.13,2.3E-6,0.113,0.281,134.018,4,Taylor Swift
6IH2Z54gYPLqgJtxZjX80i,Back To December - Acoustic Version,55,292560,false,2010-10-25,0.541,0.453,2,-6,1,0.0266,0.748,0.0,0.2,0.377,141.757,4,Taylor Swift
6NFyWDv5CjfwuzoCkw47Xf,Delicate,78,232253,false,2017-11-10,0.75,0.404,9,-10,0,0.0682,0.216,3.57E-4,0.0911,0.0499,95.045,4,Taylor Swift
6XDBA3QWX51lDJ0oZbaJJN,Long Live,55,317947,false,2010-10-25,0.418,0.68,7,-4,1,0.0346,0.036,7.59E-5,0.108,0.142,204.125,4,Taylor Swift
6ce41JVa6KFaryfmC2bu2W,22,73,232120,false,2012-10-22,0.661,0.729,7,-6,1,0.0376,0.00215,0.0013,0.0477,0.668,103.987,4,Taylor Swift
6kISMRfweKSvgHR0urMQFG,We Are Never Ever Getting Back Together,64,193147,false,2012-10-22,0.628,0.676,7,-5,1,0.0916,0.00957,2.65E-5,0.121,0.75,85.984,4,Taylor Swift
6rZVy6FIG7lSJQMFXHo12z,New Romantics,66,230467,false,2014-10-27,0.633,0.889,5,-5,1,0.0715,0.00463,4.58E-4,0.0658,0.584,121.956,4,Taylor Swift
